"u","Points:0","Points:1","Points:2"
0.97151,0.037859,0.38503,0.29223
0.98364,-0.21549,0.39453,-0.18162
0.9883,0.26778,0.40404,-0.011065
0.98993,-0.17941,0.41355,0.17852
0.98776,0.010949,0.42305,-0.23661
0.9735,0.14032,0.43256,0.16816
0.95793,-0.19735,0.44207,-0.02656
0.96288,0.1449,0.45158,-0.10081
0.96437,-0.032914,0.46108,0.14628
0.96063,-0.05803,0.47059,-0.10128
0.95617,0.064521,0.48009,0.020586
0.95451,-0.067788,-0.51067,0
0.91298,0.086198,-0.50171,-0.078964
0.98119,-0.013136,-0.49275,0.14967
0.97507,-0.10768,-0.48379,-0.14046
1.0052,0.19673,-0.47484,0.034798
0.95302,-0.18551,-0.46588,0.11801
0.98772,0.061766,-0.45692,-0.22977
0.95806,0.11725,-0.44796,0.22576
0.97733,-0.2532,-0.439,-0.092469
0.94382,0.26217,-0.43004,-0.10822
0.96824,-0.12578,-0.42108,0.2688
0.98086,-0.092506,-0.41212,-0.29492
0.98134,0.27746,-0.40316,0.1608
0.98765,-0.3239,-0.3942,0.07121
0.95205,0.1967,-0.38524,-0.27978
0.98158,0.045215,-0.37628,0.34892
0.96171,-0.27618,-0.36733,-0.23276
0.95949,0.36976,-0.35837,-0.015291
0.97488,-0.26832,-0.34941,0.26702
0.97021,0.017859,-0.34045,-0.38621
0.97777,0.25265,-0.33149,0.30276
0.96811,-0.3981,-0.32253,-0.053564
0.95824,0.3355,-0.31357,-0.23344
0.97316,-0.091182,-0.30461,0.40531
0.96987,-0.20974,-0.29565,-0.36603
0.97171,0.40776,-0.28669,0.13009
0.95544,-0.39386,-0.27773,0.18198
0.95535,0.16966,-0.26877,-0.40541
0.966,0.15055,-0.25982,0.41858
0.9608,-0.39829,-0.25086,-0.20933
0.96162,0.4398,-0.2419,-0.11593
0.96967,-0.2485,-0.23294,0.38648
0.96767,-0.078576,-0.22398,-0.45721
0.96538,0.37012,-0.21502,0.28664
0.96569,-0.47053,-0.20606,0.038983
0.96162,0.32321,-0.1971,-0.34938
0.96068,-0.002339,-0.18814,0.47956
0.95339,-0.32451,-0.17918,-0.35772
0.95928,0.48414,-0.17022,0.04487
0.95885,-0.38972,-0.16127,0.29579
0.95995,0.088082,-0.15231,-0.48417
0.95295,0.26354,-0.14335,0.41879
0.95225,-0.47963,-0.13439,-0.13145
0.95339,0.44453,-0.12543,-0.22813
0.95371,-0.17444,-0.11647,0.47052
0.9493,-0.18996,-0.10751,-0.46663
0.94771,0.45692,-0.098551,0.21654
0.9443,-0.48478,-0.089592,0.14946
0.94948,0.25726,-0.080632,-0.43897
0.9283,0.10711,-0.071673,0.49877
0.94592,-0.41685,-0.062714,-0.29611
0.94071,0.50841,-0.053755,-0.063362
0.94948,-0.33264,-0.044796,0.3908
0.94959,-0.018728,-0.035837,-0.51356
0.94513,0.3611,-0.026877,0.36642
0.94482,-0.51417,-0.017918,-0.02629
0.9436,0.39707,-0.008959,-0.32808
